Order Id,Order Item Quantity,Product Price,Order Item Product Price,Order Item Total,Order Item Discount,Order Item Discount Rate
77202,1,327.75,327.75,314.6400146,13.10999966,0.039999999
75939,1,327.75,327.75,311.3599854,16.38999939,0.050000001
75938,1,327.75,327.75,309.7200012,18.03000069,0.059999999
75937,1,327.75,327.75,304.8099976,22.94000053,0.07
75936,1,327.75,327.75,298.25,29.5,0.090000004
75935,1,327.75,327.75,294.980011,32.77999878,0.100000001
75934,1,327.75,327.75,288.4200134,39.33000183,0.119999997
75933,1,327.75,327.75,285.1400146,42.61000061,0.129999995
75932,1,327.75,327.75,278.5899963,49.15999985,0.150000006
75931,1,327.75,327.75,275.3099976,52.43999863,0.159999996
75930,1,327.75,327.75,272.0299988,55.72000122,0.170000002
75929,1,327.75,327.75,268.7600098,59.0,0.180000007
75928,1,327.75,327.75,262.2000122,65.55000305,0.200000003
75927,1,327.75,327.75,245.8099976,81.94000244,0.25
75926,1,327.75,327.75,327.75,0.0,0.0
75925,1,327.75,327.75,324.4700012,3.279999971,0.01
75924,1,327.75,327.75,321.2000122,6.559999943,0.02
75923,1,327.75,327.75,317.9200134,9.829999924,0.029999999
75922,1,327.75,327.75,314.6400146,13.10999966,0.039999999
75921,1,327.75,327.75,311.3599854,16.38999939,0.050000001
75920,1,327.75,327.75,309.7200012,18.03000069,0.059999999
75919,1,327.75,327.75,304.8099976,22.94000053,0.07
75918,1,327.75,327.75,298.25,29.5,0.090000004
75917,1,327.75,327.75,294.980011,32.77999878,0.100000001
75916,1,327.75,327.75,288.4200134,39.33000183,0.119999997
75915,1,327.75,327.75,285.1400146,42.61000061,0.129999995
75914,1,327.75,327.75,278.5899963,49.15999985,0.150000006
75913,1,327.75,327.75,275.3099976,52.43999863,0.159999996
75912,1,327.75,327.75,272.0299988,55.72000122,0.170000002
75911,1,327.75,327.75,268.7600098,59.0,0.180000007
75910,1,327.75,327.75,262.2000122,65.55000305,0.200000003
75909,1,327.75,327.75,245.8099976,81.94000244,0.25
75908,1,327.75,327.75,327.75,0.0,0.0
75907,1,327.75,327.75,324.4700012,3.279999971,0.01
75906,1,327.75,327.75,321.2000122,6.559999943,0.02
75905,1,327.75,327.75,317.9200134,9.829999924,0.029999999
75904,1,327.75,327.75,314.6400146,13.10999966,0.039999999
75903,1,327.75,327.75,311.3599854,16.38999939,0.050000001
75902,1,327.75,327.75,309.7200012,18.03000069,0.059999999
75901,1,327.75,327.75,304.8099976,22.94000053,0.07
75900,1,327.75,327.75,298.25,29.5,0.090000004
75899,1,327.75,327.75,294.980011,32.77999878,0.100000001
75898,1,327.75,327.75,288.4200134,39.33000183,0.119999997
75897,1,327.75,327.75,285.1400146,42.61000061,0.129999995
75896,1,327.75,327.75,278.5899963,49.15999985,0.150000006
75895,1,327.75,327.75,275.3099976,52.43999863,0.159999996
75894,1,327.75,327.75,272.0299988,55.72000122,0.170000002
75893,1,327.75,327.75,268.7600098,59.0,0.180000007
28744,2,59.99000168,59.99000168,115.1800003,4.800000191,0.039999999
45461,2,39.99000168,39.99000168,79.18000031,0.800000012,0.01
31115,2,50.0,50.0,96.0,4.0,0.039999999
45766,2,39.99000168,39.99000168,75.98000336,4.0,0.050000001
47752,2,50.0,50.0,91.0,9.0,0.090000004
50054,2,50.0,50.0,87.0,13.0,0.129999995
20365,2,50.0,50.0,82.0,18.0,0.180000007
36146,2,44.99000168,44.99000168,74.68000031,15.30000019,0.170000002
41234,2,54.97000122,54.97000122,90.15000153,19.79000092,0.180000007
32090,2,59.99000168,59.99000168,117.5800018,2.400000095,0.02
34773,2,59.99000168,59.99000168,95.98000336,24.0,0.200000003
44046,3,99.98999786,99.98999786,263.9700012,36.0,0.119999997
46414,3,39.99000168,39.99000168,113.9700012,6.0,0.050000001
46599,3,21.98999977,21.98999977,63.99000168,1.980000019,0.029999999
48434,3,31.98999977,31.98999977,79.66000366,16.30999947,0.170000002
12827,3,99.98999786,99.98999786,293.9700012,6.0,0.02
63936,3,99.98999786,99.98999786,269.9700012,30.0,0.100000001
65030,3,99.98999786,99.98999786,224.9799957,74.98999786,0.25
18108,3,59.99000168,59.99000168,176.3699951,3.599999905,0.02
62571,3,59.99000168,59.99000168,167.3699951,12.60000038,0.07
17162,3,59.99000168,59.99000168,163.7700043,16.20000076,0.090000004
65922,3,59.99000168,59.99000168,161.9700012,18.0,0.100000001
63936,3,50.0,50.0,139.5,10.5,0.07
64813,3,39.99000168,39.99000168,107.9700012,12.0,0.100000001
67892,3,50.0,50.0,112.5,37.5,0.25
12525,3,21.98999977,21.98999977,55.40999985,10.56000042,0.159999996
5895,3,99.98999786,99.98999786,299.9700012,0.0,0.0
56359,3,59.99000168,59.99000168,178.1699982,1.799999952,0.01
58613,3,59.99000168,59.99000168,170.9700012,9.0,0.050000001
7824,3,59.99000168,59.99000168,170.0700073,9.899999619,0.059999999
7814,3,59.99000168,59.99000168,167.3699951,12.60000038,0.07
