Order Id,Type,order date (DateOrders),Order Status,Order Customer Id,Order City,Order Country,Order State,Order Zipcode
77202,DEBIT,1/31/2018 22:56,COMPLETE,20755,Bekasi,Indonesia,Java Occidental,
75939,TRANSFER,1/13/2018 12:27,PENDING,19492,Bikaner,India,Rajastán,
75938,CASH,1/13/2018 12:06,CLOSED,19491,Bikaner,India,Rajastán,
75937,DEBIT,1/13/2018 11:45,COMPLETE,19490,Townsville,Australia,Queensland,
75936,PAYMENT,1/13/2018 11:24,PENDING_PAYMENT,19489,Townsville,Australia,Queensland,
75935,TRANSFER,1/13/2018 11:03,CANCELED,19488,Toowoomba,Australia,Queensland,
75934,DEBIT,1/13/2018 10:42,COMPLETE,19487,Guangzhou,China,Guangdong,
75933,TRANSFER,1/13/2018 10:21,PROCESSING,19486,Guangzhou,China,Guangdong,
75932,CASH,1/13/2018 10:00,CLOSED,19485,Guangzhou,China,Guangdong,
75931,CASH,1/13/2018 9:39,CLOSED,19484,Guangzhou,China,Guangdong,
75930,TRANSFER,1/13/2018 9:18,SUSPECTED_FRAUD,19483,Tokio,Japón,Tokio,
75929,TRANSFER,1/13/2018 8:57,PENDING,19482,Manado,Indonesia,Célebes Septentrional,
75928,TRANSFER,1/13/2018 8:36,PENDING,19481,Manado,Indonesia,Célebes Septentrional,
75927,DEBIT,1/13/2018 8:15,COMPLETE,19480,Sangli,India,Maharashtra,
75926,TRANSFER,1/13/2018 7:54,PROCESSING,19479,Sangli,India,Maharashtra,
75925,DEBIT,1/13/2018 7:33,COMPLETE,19478,Sangli,India,Maharashtra,
75924,PAYMENT,1/13/2018 7:12,PENDING_PAYMENT,19477,Seúl,Corea del Sur,Seúl,
75923,CASH,1/13/2018 6:51,CLOSED,19476,Jabalpur,India,Madhya Pradesh,
75922,DEBIT,1/13/2018 6:30,COMPLETE,19475,Jabalpur,India,Madhya Pradesh,
75921,PAYMENT,1/13/2018 6:09,PENDING_PAYMENT,19474,Jabalpur,India,Madhya Pradesh,
75920,TRANSFER,1/13/2018 5:48,PROCESSING,19473,Jabalpur,India,Madhya Pradesh,
75919,TRANSFER,1/13/2018 5:27,PENDING,19472,Jabalpur,India,Madhya Pradesh,
75918,TRANSFER,1/13/2018 5:06,PENDING,19471,Geelong,Australia,Victoria,
75917,TRANSFER,1/13/2018 4:45,CANCELED,19470,Geelong,Australia,Victoria,
75916,TRANSFER,1/13/2018 4:24,SUSPECTED_FRAUD,19469,Brisbane,Australia,Queensland,
75915,DEBIT,1/13/2018 4:03,COMPLETE,19468,Mandurah,Australia,Australia Occidental,
75914,TRANSFER,1/13/2018 3:42,PENDING,19467,Mandurah,Australia,Australia Occidental,
75913,PAYMENT,1/13/2018 3:21,PENDING_PAYMENT,19466,Guilin,China,Guangxi,
75912,DEBIT,1/13/2018 3:00,COMPLETE,19465,Guilin,China,Guangxi,
75911,TRANSFER,1/13/2018 2:39,PROCESSING,19464,Guilin,China,Guangxi,
75910,DEBIT,1/13/2018 2:18,ON_HOLD,19463,Guilin,China,Guangxi,
75909,DEBIT,1/13/2018 1:57,COMPLETE,19462,Delhi,India,Delhi,
75908,PAYMENT,1/13/2018 1:36,PENDING_PAYMENT,19461,Delhi,India,Delhi,
75907,DEBIT,1/13/2018 1:15,COMPLETE,19460,Suzhou,China,Gansu,
75906,PAYMENT,1/13/2018 0:54,PENDING_PAYMENT,19459,Suzhou,China,Gansu,
75905,PAYMENT,1/13/2018 0:33,PENDING_PAYMENT,19458,Singapur,Singapur,Singapur,
75904,CASH,1/13/2018 0:12,CLOSED,19457,Hubli,India,Karnataka,
75903,DEBIT,1/12/2018 23:51,COMPLETE,19456,Wollongong,Australia,Nueva Gales del Sur,
75902,DEBIT,1/12/2018 23:30,COMPLETE,19455,Wollongong,Australia,Nueva Gales del Sur,
75901,TRANSFER,1/12/2018 23:09,CANCELED,19454,Wollongong,Australia,Nueva Gales del Sur,
75900,PAYMENT,1/12/2018 22:48,PENDING_PAYMENT,19453,Singapur,Singapur,Singapur,
75899,DEBIT,1/12/2018 22:27,COMPLETE,19452,Singapur,Singapur,Singapur,
75898,CASH,1/12/2018 22:05,CLOSED,19451,Medan,Indonesia,Sumatra Septentrional,
75897,PAYMENT,1/12/2018 21:44,PENDING_PAYMENT,19450,Medan,Indonesia,Sumatra Septentrional,
75896,DEBIT,1/12/2018 21:23,COMPLETE,19449,Canberra,Australia,Territorio de la Capital Australiana,
75895,TRANSFER,1/12/2018 21:02,PENDING,19448,Bangalore,India,Karnataka,
75894,TRANSFER,1/12/2018 20:41,PENDING,19447,Bangalore,India,Karnataka,
75893,TRANSFER,1/12/2018 20:20,PROCESSING,19446,Yiwu,China,Zhejiang,
28744,PAYMENT,2/24/2016 13:57,PENDING_PAYMENT,9083,Mirzapur,India,Uttar Pradesh,
45461,PAYMENT,10/25/2016 14:39,PENDING_PAYMENT,4741,Bursa,Turquía,Bursa,
31115,PAYMENT,3/30/2016 4:37,PENDING_PAYMENT,639,Murray Bridge,Australia,Australia del Sur,
45766,PAYMENT,10/30/2016 1:31,PENDING_PAYMENT,9702,Kartal,Turquía,Estambul,
47752,PAYMENT,11/28/2016 1:18,PENDING_PAYMENT,9114,Ulan Bator,Mongolia,Ulán Bator,
50054,PAYMENT,12/31/2016 15:47,PENDING_PAYMENT,1362,Estambul,Turquía,Estambul,
20365,PAYMENT,10/25/2015 6:24,PENDING_PAYMENT,8011,Raipur,India,Rajastán,
36146,PAYMENT,6/11/2016 15:12,PENDING_PAYMENT,3296,Pasco,Estados Unidos,Washington,99301.0
41234,PAYMENT,8/24/2016 21:45,PENDING_PAYMENT,3182,Los Angeles,Estados Unidos,California,90049.0
32090,PAYMENT,4/13/2016 10:12,PENDING_PAYMENT,7864,San Francisco,Estados Unidos,California,94110.0
34773,PAYMENT,5/22/2016 14:10,PENDING_PAYMENT,11169,Overland Park,Estados Unidos,Kansas,66212.0
44046,PAYMENT,10/4/2016 22:55,PENDING_PAYMENT,5197,Ugep,Nigeria,Cross River,
46414,PAYMENT,11/8/2016 12:32,PENDING_PAYMENT,1535,Kinshasa,República Democrática del Congo,Kinshasa,
46599,PAYMENT,11/11/2016 5:21,PENDING_PAYMENT,6122,Dakar,Senegal,Dakar,
48434,PAYMENT,12/8/2016 0:14,PENDING_PAYMENT,9451,Casablanca,Marruecos,Gran Casablanca,
12827,PAYMENT,7/7/2015 5:31,PENDING_PAYMENT,542,Dortmund,Alemania,Renania del Norte-Westfalia,
63936,PAYMENT,7/22/2017 7:16,PENDING_PAYMENT,11329,Drancy,Francia,Isla de Francia,
65030,PAYMENT,8/7/2017 6:33,PENDING_PAYMENT,3570,Nantes,Francia,Países del Loira,
18108,PAYMENT,9/22/2015 7:41,PENDING_PAYMENT,650,Groningen,Países Bajos,Groningen,
62571,PAYMENT,7/2/2017 9:03,PENDING_PAYMENT,9353,Gateshead,Reino Unido,Inglaterra,
17162,PAYMENT,9/8/2015 12:15,PENDING_PAYMENT,54,Eastbourne,Reino Unido,Inglaterra,
65922,PAYMENT,8/20/2017 7:03,PENDING_PAYMENT,12151,Hayange,Francia,Alsacia-Champaña-Ardenas-Lorena,
63936,PAYMENT,7/22/2017 7:16,PENDING_PAYMENT,11329,Drancy,Francia,Isla de Francia,
64813,PAYMENT,8/4/2017 2:31,PENDING_PAYMENT,10018,Portsmouth,Reino Unido,Inglaterra,
67892,PAYMENT,9/18/2017 1:14,PENDING_PAYMENT,3182,Gelsenkirchen,Alemania,Renania del Norte-Westfalia,
12525,PAYMENT,7/2/2015 19:42,PENDING_PAYMENT,4936,Nice,Francia,Provenza-Alpes-Costa Azul,
5895,PAYMENT,3/28/2015 0:55,PENDING_PAYMENT,8707,Petapa,Guatemala,Guatemala,
56359,PAYMENT,4/2/2017 16:43,PENDING_PAYMENT,1025,Mejicanos,El Salvador,San Salvador,
58613,PAYMENT,5/5/2017 14:23,PENDING_PAYMENT,8831,David,Panamá,Chiriquí,
7824,PAYMENT,4/25/2015 4:44,PENDING_PAYMENT,10679,Santo Domingo,República Dominicana,Santo Domingo,
7814,PAYMENT,4/25/2015 1:14,PENDING_PAYMENT,5007,Cabimas,Venezuela,Zulia,
7814,PAYMENT,4/25/2015 1:14,PENDING_PAYMENT,5007,Cabimas,Venezuela,Zulia,
60807,PAYMENT,6/6/2017 15:03,PENDING_PAYMENT,9854,Santo Domingo,República Dominicana,Santo Domingo,
53413,PAYMENT,2/18/2017 16:36,PENDING_PAYMENT,376,Dos Quebradas,Colombia,Risaralda,
7888,PAYMENT,4/26/2015 3:10,PENDING_PAYMENT,5417,Ilopango,El Salvador,San Salvador,
6783,PAYMENT,4/10/2015 0:02,PENDING_PAYMENT,10759,Tegucigalpa,Honduras,Francisco Morazán,
56973,PAYMENT,4/11/2017 15:49,PENDING_PAYMENT,8541,Juazeiro,Brasil,Bahía,
7824,PAYMENT,4/25/2015 4:44,PENDING_PAYMENT,10679,Santo Domingo,República Dominicana,Santo Domingo,
55155,PAYMENT,3/16/2017 2:54,PENDING_PAYMENT,3752,Mexico City,México,Distrito Federal,
5991,PAYMENT,3/29/2015 10:33,PENDING_PAYMENT,4673,Tlaquepaque,México,Jalisco,
2263,PAYMENT,2/3/2015 0:28,PENDING_PAYMENT,5367,Puebla,México,Puebla,
2263,PAYMENT,2/3/2015 0:28,PENDING_PAYMENT,5367,Puebla,México,Puebla,
53403,PAYMENT,2/18/2017 13:05,PENDING_PAYMENT,10485,Mexico City,México,Distrito Federal,
51298,PAYMENT,1/18/2017 19:37,PENDING_PAYMENT,9272,São Paulo,Brasil,São Paulo,
4919,TRANSFER,3/13/2015 18:59,PENDING,647,Montevideo,Uruguay,Montevideo,
52640,TRANSFER,2/7/2017 9:47,PENDING,6398,Buenos Aires,Argentina,Buenos Aires,
6358,TRANSFER,4/3/2015 19:08,PENDING,4209,São Paulo,Brasil,São Paulo,
57106,TRANSFER,4/13/2017 14:25,PENDING,8917,Barueri,Brasil,São Paulo,
6245,TRANSFER,4/2/2015 3:33,PENDING,7784,Arapongas,Brasil,Paraná,
52166,TRANSFER,1/31/2017 11:43,PENDING,1425,Camagüey,Cuba,Camagüey,
56172,TRANSFER,3/30/2017 23:12,PENDING,2737,Las Tunas,Cuba,Las Tunas,
55829,TRANSFER,3/25/2017 23:02,PENDING,6428,Santo Domingo,República Dominicana,Santo Domingo,
52478,TRANSFER,2/5/2017 1:01,PENDING,6543,Tepic,México,Nayarit,
57242,TRANSFER,4/15/2017 14:04,PENDING,3990,San Miguelito,Panamá,Panamá,
3137,TRANSFER,2/15/2015 18:40,PENDING,8524,Ixtapaluca,México,México,
60127,TRANSFER,5/27/2017 16:48,PENDING,9204,Maceió,Brasil,Alagoas,
3828,TRANSFER,2/25/2015 20:46,PENDING,11761,David,Panamá,Chiriquí,
60386,TRANSFER,5/31/2017 11:33,PENDING,9554,Belo Horizonte,Brasil,Minas Gerais,
973,TRANSFER,1/15/2015 4:32,PENDING,5118,Santiago de Cuba,Cuba,Santiago de Cuba,
57999,TRANSFER,4/26/2017 15:16,PENDING,5506,San Pedro Sula,Honduras,Cortés,
54585,TRANSFER,3/7/2017 19:12,PENDING,1423,Lima,Perú,Lima (ciudad),
57598,TRANSFER,4/20/2017 18:47,PENDING,138,Holguín,Cuba,Holguín,
54274,TRANSFER,3/3/2017 6:14,PENDING,6360,Orizaba,México,Veracruz,
60673,TRANSFER,6/4/2017 16:06,PENDING,2053,Managua,Nicaragua,Managua,
59387,TRANSFER,5/16/2017 21:33,PENDING,10344,Villahermosa,México,Tabasco,
52640,TRANSFER,2/7/2017 9:47,PENDING,6398,Buenos Aires,Argentina,Buenos Aires,
10007,TRANSFER,5/27/2015 1:32,PENDING,3375,Quixadá,Brasil,Ceará,
55984,TRANSFER,3/28/2017 5:20,PENDING,1339,Mejicanos,El Salvador,San Salvador,
52478,TRANSFER,2/5/2017 1:01,PENDING,6543,Tepic,México,Nayarit,
58375,TRANSFER,5/2/2017 3:00,PENDING,3990,Mixco,Guatemala,Guatemala,
56448,TRANSFER,4/3/2017 23:53,PENDING,7247,Nueva Gerona,Cuba,Isla de la Juventud,
8221,TRANSFER,4/30/2015 23:49,PROCESSING,1273,Buenos Aires,Argentina,Buenos Aires,
58034,TRANSFER,4/27/2017 3:32,PROCESSING,6277,Chimaltenango,Guatemala,Chimaltenango,
2203,TRANSFER,2/2/2015 3:27,PROCESSING,7701,Villa Nueva,Guatemala,Guatemala,
53069,TRANSFER,2/13/2017 16:05,PROCESSING,4126,Quito,Ecuador,Pichincha,
60146,TRANSFER,5/27/2017 23:28,PROCESSING,9528,Managua,Nicaragua,Managua,
55409,TRANSFER,3/19/2017 19:53,PROCESSING,1853,Valle de La Pascua,Venezuela,Guárico,
8678,TRANSFER,5/7/2015 15:56,PROCESSING,11149,San Miguelito,Panamá,Panamá,
7980,TRANSFER,4/27/2015 11:23,PROCESSING,5828,San Miguelito,Panamá,Panamá,
57185,TRANSFER,4/14/2017 18:06,PROCESSING,6887,Petapa,Guatemala,Guatemala,
8636,TRANSFER,5/7/2015 1:13,PROCESSING,4781,Cotia,Brasil,São Paulo,
61192,TRANSFER,6/12/2017 5:55,PROCESSING,10668,Itapecuru Mirim,Brasil,Marañón,
55876,TRANSFER,3/26/2017 15:30,PROCESSING,5421,León,Nicaragua,León,
53331,TRANSFER,2/17/2017 11:52,PROCESSING,10200,Tlalpan,México,Distrito Federal,
51725,TRANSFER,1/25/2017 1:13,PROCESSING,11254,Apopa,El Salvador,San Salvador,
52562,TRANSFER,2/6/2017 6:27,PROCESSING,11106,Cipolletti,Argentina,Río Negro,
59754,TRANSFER,5/22/2017 6:08,PROCESSING,8456,Mejicanos,El Salvador,San Salvador,
53574,TRANSFER,2/21/2017 1:00,PROCESSING,6149,La Ceiba,Honduras,Atlántida,
399,TRANSFER,1/6/2015 19:26,PROCESSING,1473,Córdoba,México,Veracruz,
51050,DEBIT,1/15/2017 4:44,ON_HOLD,1840,Kuito,Angola,Bié,
45680,DEBIT,10/28/2016 19:23,ON_HOLD,6757,Jartum,Sudán,Jartum,
42992,DEBIT,9/19/2016 13:39,ON_HOLD,3972,Hargeysa,Somalia,Gobolka Woqooyi Galbeed,
41304,DEBIT,8/25/2016 22:16,ON_HOLD,9316,Kenitra,Marruecos,Garb-Chrarda-Beni Hsen,
